Results from FLAKE simulations.
 No     time         Ts            Tm            Tb            ufr_a         ufr_w         Wconv         Qw            Q_se          Q_la          I_w           Q_lwa         Q_lww         h_ML          C_T           H_B1          T_B1          Qbot          H_ice         H_snow        T_ice         T_snow   
       79  0.548611       17.1203       17.1203       17.1203       0.00000      0.113956E-03  0.185071E-02  -60.9773      0.126493     -0.180015       812.045       0.00000      -398.500      0.227700      0.500000       5.00000       4.00000       2.86547       0.00000       0.00000       0.00000       0.00000    
       80  0.555556       17.1821       17.1821       17.1821       0.00000      0.111501E-03  0.183576E-02  -59.3873      0.132798     -0.174592       809.600       0.00000      -398.840      0.227700      0.500000       5.00000       4.00000       2.87898       0.00000       0.00000       0.00000       0.00000    
       81  0.562500       17.2447       17.2447       17.2447      0.410570      0.141675E-01  0.218090E-02  -95.1189       114.594      -148.622       814.582       0.00000      -399.184      0.227700      0.500000       5.00000       4.00000       2.89263       0.00000       0.00000       0.00000       0.00000    
       82  0.569444       17.2854       17.2854       17.2854       0.00000      0.118732E-03  0.185966E-02  -61.1001      0.130464     -0.176867       813.762       0.00000      -399.408      0.227700      0.500000       5.00000       4.00000       2.90153       0.00000       0.00000       0.00000       0.00000    
       83  0.576389       17.3473       17.3473       17.3473       0.00000      0.956466E-04  0.186265E-02  -61.0576      0.131907     -0.172146       806.807       0.00000      -399.748      0.227700      0.500000       5.00000       4.00000       2.91506       0.00000       0.00000       0.00000       0.00000    
       84  0.583333       17.4084       17.4084       17.4084       0.00000      0.121776E-03  0.185686E-02  -60.3070      0.135413     -0.177989       808.094       0.00000      -400.085      0.227700      0.500000       5.00000       4.00000       2.92840       0.00000       0.00000       0.00000       0.00000    
       85  0.590278       17.4702       17.4702       17.4702       0.00000      0.122251E-03  0.188895E-02  -63.0162      0.131477     -0.186312       822.452       0.00000      -400.425      0.227700      0.500000       5.00000       4.00000       2.94188       0.00000       0.00000       0.00000       0.00000    
       86  0.597222       17.5320       17.5320       17.5320       0.00000      0.115327E-03  0.186808E-02  -60.8129      0.134840     -0.185609       810.754       0.00000      -400.766      0.227700      0.500000       5.00000       4.00000       2.95538       0.00000       0.00000       0.00000       0.00000    
       87  0.604167       17.5937       17.5937       17.5937       0.00000      0.903240E-04  0.183347E-02  -57.3363      0.135166     -0.191057       776.790       0.00000      -401.106      0.227700      0.500000       5.00000       4.00000       2.96886       0.00000       0.00000       0.00000       0.00000    
       88  0.611111       17.6533       17.6533       17.6533       0.00000      0.115269E-03  0.177883E-02  -52.3529      0.138530     -0.184690       735.818       0.00000      -401.435      0.227700      0.500000       5.00000       4.00000       2.98189       0.00000       0.00000       0.00000       0.00000    
       89  0.618056       17.7110       17.7110       17.7110       0.00000      0.114729E-03  0.183567E-02  -57.0414      0.135258     -0.185259       771.531       0.00000      -401.754      0.227700      0.500000       5.00000       4.00000       2.99447       0.00000       0.00000       0.00000       0.00000    
       90  0.625000       17.7701       17.7701       17.7701       0.00000      0.103586E-03  0.179150E-02  -52.3991      0.133662     -0.186971       660.858       0.00000      -402.081      0.227700      0.500000       5.00000       4.00000       3.00739       0.00000       0.00000       0.00000       0.00000    
       91  0.631944       17.8183       17.8183       17.8183       0.00000      0.917041E-04  0.173591E-02  -47.5485      0.129931     -0.193339       604.943       0.00000      -402.347      0.227700      0.500000       5.00000       4.00000       3.01791       0.00000       0.00000       0.00000       0.00000    
       92  0.638889       17.8624       17.8624       17.8624       0.00000      0.860733E-04  0.183425E-02  -55.7667      0.133819     -0.186130       691.183       0.00000      -402.591      0.227700      0.500000       5.00000       4.00000       3.02756       0.00000       0.00000       0.00000       0.00000    
       93  0.645833       17.9123       17.9123       17.9123       0.00000      0.111229E-03  0.183945E-02  -56.1644      0.139060     -0.191008       711.210       0.00000      -402.867      0.227700      0.500000       5.00000       4.00000       3.03844       0.00000       0.00000       0.00000       0.00000    
